CU    CP    Total_Wire_Length    Total_Chip_Area    Slack_Time    DRC_Status
------------------------------------------------------------------------
0.62  700   185666.0440        41606.203        6.098        1         
0.62  650   184720.0800        41606.203        22.312       0         
0.62  600   184958.7360        41606.203        8.543        0         
0.62  550   186141.8840        41606.203        1.894        0         
0.62  500   196033.2560        41606.203        -3.600       3         
0.62  450   204716.5280        41606.203        -16.300      0         
0.62  400   210280.3080        41606.203        -71.000      5         
0.62  350   210136.6200        41606.203        -124.700     1         
0.65  700   179842.2840        39775.298        28.347       0         
0.65  650   180118.9720        39775.298        20.599       3         
0.65  600   179972.5160        39775.298        2.562        2         
0.65  550   180593.2960        39775.298        -0.100       3         
0.65  500   187928.6280        39775.298        -1.609       3         
0.65  450   200537.2440        39775.298        -17.600      1         
0.65  400   204796.4280        39775.298        -66.800      9         
0.65  350   213023.1680        39775.298        -122.500     4         
0.68  700   178377.5280        38156.148        53.830       4         
0.68  650   178303.1240        38156.148        32.222       2         
0.68  600   177887.9240        38156.148        4.320        2         
0.68  550   178640.4640        38156.148        2.405        2         
0.68  500   190816.6880        38156.148        -5.174       3         
0.68  450   199118.2560        38156.148        -31.200      9         
0.68  400   203302.5360        38156.148        -74.000      6         
0.68  350   217496.7560        38156.148        -123.600     8         
0.7   700   175399.2000        37121.981        16.976       1         
0.7   650   175963.1280        37121.981        17.586       1         
0.7   600   175983.8360        37121.981        8.572        1         
0.7   550   176116.4040        37121.981        2.685        4         
0.7   500   184491.4160        37121.981        0.377        0         
0.7   450   199516.1680        37121.981        -12.100      6         
0.7   400   199359.2440        37121.981        -66.500      3         
0.7   350   204794.8240        37121.981        -115.900     5         
0.72  700   172228.8920        36157.654        31.270       4         
0.72  650   171840.3080        36157.654        18.428       4         
0.72  600   171321.0800        36157.654        0.900        1         
0.72  550   172174.8560        36157.654        0.597        6         
0.72  500   179331.0120        36157.654        -4.961       8         
0.72  450   193126.6600        36157.654        -20.382      5         
0.72  400   195567.3840        36157.654        -66.300      12        
0.72  350   201646.8000        36157.654        -121.600     10        
